ID_ViThuoc,TenViThuoc,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15
48,Chó đẻ răng cưa,0.0107854605,0.012033545,0.00912641,-0.00024244934,-0.033273157,-0.016617108,-0.023412267,-0.01623375,0.0025982475,0.03362623,0.028011858,0.023054913,0.0331743,-0.016805118,-0.012795797,0.0074043944
49,Cúc liên chỉ dại,0.0107854605,0.012033545,0.00912641,-0.00024244934,-0.033273157,-0.016617108,-0.023412267,-0.01623375,0.0025982475,0.03362623,0.028011858,0.023054913,0.0331743,-0.016805118,-0.012795797,0.0074043944
50,Dâm bụt,0.0107854605,0.012033545,0.00912641,-0.00024244934,-0.033273157,-0.016617108,-0.023412267,-0.01623375,0.0025982475,0.03362623,0.028011858,0.023054913,0.0331743,-0.016805118,-0.012795797,0.0074043944
51,Ké hoa đào,-0.03559195,0.0014791284,0.003558144,0.0084359255,0.0070325956,-0.018550374,-0.028205154,0.02214158,0.0065472494,-0.03139823,0.017106466,-0.014579434,0.025251074,0.039507505,0.022813665,0.0027014948
52,Ké hoa vàng,0.0107854605,0.012033545,0.00912641,-0.00024244934,-0.033273157,-0.016617108,-0.023412267,-0.01623375,0.0025982475,0.03362623,0.028011858,0.023054913,0.0331743,-0.016805118,-0.012795797,0.0074043944
53,Khế,-0.008977383,0.001771342,-0.03128929,-0.033485282,-0.0013917349,-0.0015427433,-0.026832791,-5.7738274e-05,-0.009738937,0.0038156547,0.019051969,0.001190044,0.02653142,-0.013402095,0.0059029385,0.0152753685
54,Liên kiều,-0.4283287,0.065579675,0.28947464,0.22406504,1.0781462,0.586025,1.07623,1.0347147,0.53989124,-0.65813965,-1.0509647,-1.1361096,-1.0873524,-0.32743627,0.1732113,-0.03964377
55,Máu chó,0.0107854605,0.012033545,0.00912641,-0.00024244934,-0.033273157,-0.016617108,-0.023412267,-0.01623375,0.0025982475,0.03362623,0.028011858,0.023054913,0.0331743,-0.016805118,-0.012795797,0.0074043944
56,Lá móng tay,0.0107854605,0.012033545,0.00912641,-0.00024244934,-0.033273157,-0.016617108,-0.023412267,-0.01623375,0.0025982475,0.03362623,0.028011858,0.023054913,0.0331743,-0.016805118,-0.012795797,0.0074043944
57,Mù u,0.0107854605,0.012033545,0.00912641,-0.00024244934,-0.033273157,-0.016617108,-0.023412267,-0.01623375,0.0025982475,0.03362623,0.028011858,0.023054913,0.0331743,-0.016805118,-0.012795797,0.0074043944
58,Niệt gió,0.0021698885,-0.00670774,-0.045384664,-0.030527484,-0.012411334,0.01216042,-0.028667135,-0.0054678805,-0.0051324903,0.014147893,0.018946357,-0.004038021,0.038450416,-0.02246539,0.007690333,0.02854688
59,Phù dung,0.0107854605,0.012033545,0.00912641,-0.00024244934,-0.033273157,-0.016617108,-0.023412267,-0.01623375,0.0025982475,0.03362623,0.028011858,0.023054913,0.0331743,-0.016805118,-0.012795797,0.0074043944
60,Dầu rái trắng,0.0107854605,0.012033545,0.00912641,-0.00024244934,-0.033273157,-0.016617108,-0.023412267,-0.01623375,0.0025982475,0.03362623,0.028011858,0.023054913,0.0331743,-0.016805118,-0.012795797,0.0074043944
61,Cây rau má lá rau muống,-0.0011203326,0.006140017,-0.017541047,-0.015819922,-0.03901374,-0.012209889,-0.02981844,-0.0020411685,-0.0078562815,0.017396715,0.027196497,-0.001715634,0.045428243,-0.026461706,-0.006765443,0.005774256
62,Rau má ngọ,0.0107854605,0.012033545,0.00912641,-0.00024244934,-0.033273157,-0.016617108,-0.023412267,-0.01623375,0.0025982475,0.03362623,0.028011858,0.023054913,0.0331743,-0.016805118,-0.012795797,0.0074043944
63,Tần cửu (thanh táo),0.0025368743,-0.012504277,0.020415507,0.01853736,-0.03337035,-0.020144455,-0.038537197,0.004636066,0.0037399204,0.009767525,0.037418652,0.025718756,0.0016447457,0.01834109,0.0060815783,0.010392671
64,Thanh đại,-0.010419181,0.021121211,0.012702942,0.005917376,-0.024574075,-0.036344282,-0.04835871,-0.0086205155,0.010880594,-0.0008047456,0.024236917,0.025360003,0.03509738,0.0024364628,0.011433648,0.0038598143
65,Thuốc bỏng,0.03200835,-9.1603026e-05,0.0051853955,-0.028410677,-0.042365577,-0.0039886907,-0.010815758,-0.05458222,-0.007856378,0.049475707,0.025725521,0.034997866,0.022314262,-0.04740151,-0.015608502,-0.01605831
66,Thuốc giấu,0.021601722,-0.013862022,-0.03330946,-0.027394406,-0.021706011,-0.015624434,-0.016025351,-0.045525882,-0.02333379,0.019400395,0.012404814,0.042709373,0.014176654,-0.010493925,-0.0039043387,-0.016677774
67,Trầu không,-0.0015043616,-0.017133329,-0.03141614,-0.001122877,-0.016151026,0.01291579,-0.02681586,-0.023227863,-0.016312677,0.011339923,0.024014458,0.02387195,0.028381413,0.024443787,0.009896919,0.028773822
68,Thơm lồm,0.0107854605,0.012033545,0.00912641,-0.00024244934,-0.033273157,-0.016617108,-0.023412267,-0.01623375,0.0025982475,0.03362623,0.028011858,0.023054913,0.0331743,-0.016805118,-0.012795797,0.0074043944
69,Đơn buốt,0.0021698885,-0.00670774,-0.045384664,-0.030527484,-0.012411334,0.01216042,-0.028667135,-0.0054678805,-0.0051324903,0.014147893,0.018946357,-0.004038021,0.038450416,-0.02246539,0.007690333,0.02854688
70,Chè vằng,0.0107854605,0.012033545,0.00912641,-0.00024244934,-0.033273157,-0.016617108,-0.023412267,-0.01623375,0.0025982475,0.03362623,0.028011858,0.023054913,0.0331743,-0.016805118,-0.012795797,0.0074043944
71,Cây ráy,0.011557292,-0.009419651,-0.020415213,-0.031506144,-0.027841996,0.0038825758,-0.024554143,-0.040581513,-0.029813152,0.0073608942,0.029294461,0.017658483,0.008561606,-0.0015918091,-0.008412028,0.005014442
72,Ba chạc,-0.0011203326,0.006140017,-0.017541047,-0.015819922,-0.03901374,-0.012209889,-0.02981844,-0.0020411685,-0.0078562815,0.017396715,0.027196497,-0.001715634,0.045428243,-0.026461706,-0.006765443,0.005774256
73,Bạc thau,0.037795857,-0.026185218,-0.027102295,-0.01085297,-0.021561276,-0.0469898,-0.008598965,-0.08219071,-0.033275437,0.03002883,0.006270744,0.08375034,-0.009039663,0.014127575,-0.0041708946,-0.059223052
74,Bèo tây,0.0107854605,0.012033545,0.00912641,-0.00024244934,-0.033273157,-0.016617108,-0.023412267,-0.01623375,0.0025982475,0.03362623,0.028011858,0.023054913,0.0331743,-0.016805118,-0.012795797,0.0074043944
75,Bứa,0.0107854605,0.012033545,0.00912641,-0.00024244934,-0.033273157,-0.016617108,-0.023412267,-0.01623375,0.0025982475,0.03362623,0.028011858,0.023054913,0.0331743,-0.016805118,-0.012795797,0.0074043944
76,Dây đòn gánh,0.0107854605,0.012033545,0.00912641,-0.00024244934,-0.033273157,-0.016617108,-0.023412267,-0.01623375,0.0025982475,0.03362623,0.028011858,0.023054913,0.0331743,-0.016805118,-0.012795797,0.0074043944
77,Đại phong tử,0.0010386892,-0.014879861,-0.033060495,-0.009832906,-0.02089278,0.011426669,-0.03905355,-0.020345565,-0.004444213,0.02540643,0.0226199,0.010626033,0.025254836,5.8118254e-05,0.0044944184,0.028190654
78,Đơn răng cưa,0.0107854605,0.012033545,0.00912641,-0.00024244934,-0.033273157,-0.016617108,-0.023412267,-0.01623375,0.0025982475,0.03362623,0.028011858,0.023054913,0.0331743,-0.016805118,-0.012795797,0.0074043944
79,Đơn tướng quân,0.0107854605,0.012033545,0.00912641,-0.00024244934,-0.033273157,-0.016617108,-0.023412267,-0.01623375,0.0025982475,0.03362623,0.028011858,0.023054913,0.0331743,-0.016805118,-0.012795797,0.0074043944
80,Găng tu hú,0.0107854605,0.012033545,0.00912641,-0.00024244934,-0.033273157,-0.016617108,-0.023412267,-0.01623375,0.0025982475,0.03362623,0.028011858,0.023054913,0.0331743,-0.016805118,-0.012795797,0.0074043944
81,Huyết kiệt,0.0107854605,0.012033545,0.00912641,-0.00024244934,-0.033273157,-0.016617108,-0.023412267,-0.01623375,0.0025982475,0.03362623,0.028011858,0.023054913,0.0331743,-0.016805118,-0.012795797,0.0074043944
82,Hương điệp,0.0107854605,0.012033545,0.00912641,-0.00024244934,-0.033273157,-0.016617108,-0.023412267,-0.01623375,0.0025982475,0.03362623,0.028011858,0.023054913,0.0331743,-0.016805118,-0.012795797,0.0074043944
83,Keo nước hoa,0.0107854605,0.012033545,0.00912641,-0.00024244934,-0.033273157,-0.016617108,-0.023412267,-0.01623375,0.0025982475,0.03362623,0.028011858,0.023054913,0.0331743,-0.016805118,-0.012795797,0.0074043944
84,Khoai nưa,-0.011331871,-0.0064899186,-0.008857697,0.045894004,-0.011018094,-0.012155101,-0.042574108,-0.0023558885,0.0033238828,0.021638596,0.031309385,0.029012114,0.0123695005,0.04491617,0.024553737,0.022289902
85,Cây la,-0.017192522,0.002835866,-0.0311235,-0.025617993,0.0042753033,-0.0028065816,-0.028700972,0.0057108905,-0.003120949,-0.0016336534,0.01691072,-0.0036548004,0.028892608,-0.0048297644,0.011455279,0.015356025
86,Cà tàu,0.0107854605,0.012033545,0.00912641,-0.00024244934,-0.033273157,-0.016617108,-0.023412267,-0.01623375,0.0025982475,0.03362623,0.028011858,0.023054913,0.0331743,-0.016805118,-0.012795797,0.0074043944
87,Lân tơ uyn,0.0107854605,0.012033545,0.00912641,-0.00024244934,-0.033273157,-0.016617108,-0.023412267,-0.01623375,0.0025982475,0.03362623,0.028011858,0.023054913,0.0331743,-0.016805118,-0.012795797,0.0074043944
88,Lu lu đực,0.021649182,-0.016808953,0.0040199086,-0.022616088,-0.026579078,-0.011594549,-0.027991747,-0.011841141,-0.005822995,-0.00831135,0.026669763,-0.009122435,0.012110425,0.0011358038,-0.007845713,-0.007982165
89,Mật quỹ,0.0107854605,0.012033545,0.00912641,-0.00024244934,-0.033273157,-0.016617108,-0.023412267,-0.01623375,0.0025982475,0.03362623,0.028011858,0.023054913,0.0331743,-0.016805118,-0.012795797,0.0074043944
90,Muồng truồng,0.0107854605,0.012033545,0.00912641,-0.00024244934,-0.033273157,-0.016617108,-0.023412267,-0.01623375,0.0025982475,0.03362623,0.028011858,0.023054913,0.0331743,-0.016805118,-0.012795797,0.0074043944
91,Rong mơ,0.04219006,-0.01269512,0.029433876,-0.014107708,-0.06595649,-0.035328247,-0.0221984,-0.040938754,-0.020036126,0.0015465654,0.026209243,0.030709177,-0.016356835,0.004153572,-0.018578086,-0.028811846
92,Sần thuyền,0.021649182,-0.016808953,0.0040199086,-0.022616088,-0.026579078,-0.011594549,-0.027991747,-0.011841141,-0.005822995,-0.00831135,0.026669763,-0.009122435,0.012110425,0.0011358038,-0.007845713,-0.007982165
93,Thóc lép,0.0107854605,0.012033545,0.00912641,-0.00024244934,-0.033273157,-0.016617108,-0.023412267,-0.01623375,0.0025982475,0.03362623,0.028011858,0.023054913,0.0331743,-0.016805118,-0.012795797,0.0074043944
94,Tỏi đỏ,-0.017192522,0.002835866,-0.0311235,-0.025617993,0.0042753033,-0.0028065816,-0.028700972,0.0057108905,-0.003120949,-0.0016336534,0.01691072,-0.0036548004,0.028892608,-0.0048297644,0.011455279,0.015356025
95,Tùng hương,-0.027388237,0.0038435534,0.017925523,0.022199975,-0.006250769,-0.032966092,-0.055362143,-0.0066115,0.018962514,-0.00998939,0.0158571,0.02904769,0.038354453,0.035393376,0.023646532,-0.023777772
96,Vạn niên thanh,0.021649182,-0.016808953,0.0040199086,-0.022616088,-0.026579078,-0.011594549,-0.027991747,-0.011841141,-0.005822995,-0.00831135,0.026669763,-0.009122435,0.012110425,0.0011358038,-0.007845713,-0.007982165
97,Táo rừng,0.037795857,-0.026185218,-0.027102295,-0.01085297,-0.021561276,-0.0469898,-0.008598965,-0.08219071,-0.033275437,0.03002883,0.006270744,0.08375034,-0.009039663,0.014127575,-0.0041708946,-0.059223052
98,Sảng,0.0107854605,0.012033545,0.00912641,-0.00024244934,-0.033273157,-0.016617108,-0.023412267,-0.01623375,0.0025982475,0.03362623,0.028011858,0.023054913,0.0331743,-0.016805118,-0.012795797,0.0074043944
99,Hàn the,0.0038858615,-0.003403943,-0.024887137,-0.016372165,-0.018556137,-0.010952614,-0.022685187,-0.009380989,-0.00971506,0.0014417674,0.011217836,0.0065554157,0.02429297,0.001351852,0.010900155,0.007487476
100,Cà chua,-0.0093615,0.0018958151,-0.031232178,-0.033186723,-0.0011154227,-0.0016343668,-0.026941216,0.00025607087,-0.00943652,0.003549859,0.018990792,0.0010308996,0.026619097,-0.013079414,0.006086245,0.015363092
101,Cây dầu giun,0.0107854605,0.012033545,0.00912641,-0.00024244934,-0.033273157,-0.016617108,-0.023412267,-0.01623375,0.0025982475,0.03362623,0.028011858,0.023054913,0.0331743,-0.016805118,-0.012795797,0.0074043944
102,Sử quân tử,-0.01670119,0.011616244,0.032402866,0.029636214,-0.02017276,-0.046148285,-0.017757317,0.00734487,0.009337166,-0.043353863,0.021299943,0.002561029,0.00302548,0.066149056,0.013311364,-0.023357615
103,Cây keo dậu,0.0107854605,0.012033545,0.00912641,-0.00024244934,-0.033273157,-0.016617108,-0.023412267,-0.01623375,0.0025982475,0.03362623,0.028011858,0.023054913,0.0331743,-0.016805118,-0.012795797,0.0074043944
